Year,Census Type,Organisation Unit Number,Organisation Unit Name,Age Group,Number of Students (Persons),Number of Students (FTE)
2012,TERM 3,0423,Swan Reach Area School,8 and Under,25,25.0
2012,TERM 3,0423,Swan Reach Area School,9-12 Years,22,22.0
2012,TERM 3,0424,Tailem Bend Primary School,13-17 years,7,7.0
2012,TERM 3,0424,Tailem Bend Primary School,8 and Under,72,72.0
2012,TERM 3,0424,Tailem Bend Primary School,9-12 Years,74,74.0
2012,TERM 3,0426,Tantanoola Primary School,13-17 years,1,1.0
2012,TERM 3,0426,Tantanoola Primary School,8 and Under,12,12.0
2012,TERM 3,0426,Tantanoola Primary School,9-12 Years,23,23.0
2012,TERM 3,0427,Tanunda Primary School,13-17 years,9,9.0
2012,TERM 3,0427,Tanunda Primary School,8 and Under,216,216.0
2012,TERM 3,0427,Tanunda Primary School,9-12 Years,205,205.0
2012,TERM 3,0430,Tarlee Primary School,8 and Under,7,7.0
2012,TERM 3,0430,Tarlee Primary School,9-12 Years,12,12.0
2012,TERM 3,0432,Tea Tree Gully Primary School,13-17 years,6,6.0
2012,TERM 3,0432,Tea Tree Gully Primary School,8 and Under,68,68.0
2012,TERM 3,0432,Tea Tree Gully Primary School,9-12 Years,98,98.0
2012,TERM 3,0844,The Grove Education Centre,13-17 years,25,25.0
2012,TERM 3,0844,The Grove Education Centre,18 and Over,3,2.6
2012,TERM 3,0844,The Grove Education Centre,8 and Under,15,15.0
2012,TERM 3,0844,The Grove Education Centre,9-12 Years,20,20.0
2012,TERM 3,1430,The Heights School,13-17 years,659,658.6
2012,TERM 3,1430,The Heights School,18 and Over,15,14.3
2012,TERM 3,1430,The Heights School,8 and Under,180,180.0
2012,TERM 3,1430,The Heights School,9-12 Years,251,251.0
2012,TERM 3,1846,The Pines Junior Primary School,8 and Under,158,158.0
2012,TERM 3,1777,The Pines School,13-17 years,6,6.0
2012,TERM 3,1777,The Pines School,8 and Under,73,73.0
2012,TERM 3,1777,The Pines School,9-12 Years,192,192.0
2012,TERM 3,0810,Thebarton Senior College,13-17 years,207,145.0
2012,TERM 3,0810,Thebarton Senior College,18 and Over,1040,841.2
2012,TERM 3,1664,Thiele Primary School,13-17 years,15,15.0
2012,TERM 3,1664,Thiele Primary School,8 and Under,166,166.0
2012,TERM 3,1664,Thiele Primary School,9-12 Years,163,163.0
2012,TERM 3,1154,Thorndon Park Primary School,13-17 years,7,7.0
2012,TERM 3,1154,Thorndon Park Primary School,8 and Under,81,81.0
2012,TERM 3,1154,Thorndon Park Primary School,9-12 Years,85,85.0
2012,TERM 3,0438,Tintinara Area School,13-17 years,34,34.0
2012,TERM 3,0438,Tintinara Area School,18 and Over,1,1.0
2012,TERM 3,0438,Tintinara Area School,8 and Under,33,33.0
2012,TERM 3,0438,Tintinara Area School,9-12 Years,33,33.0
2012,TERM 3,1285,Torrensville Primary School,13-17 years,13,13.0
2012,TERM 3,1285,Torrensville Primary School,8 and Under,137,137.0
2012,TERM 3,1285,Torrensville Primary School,9-12 Years,144,144.0
2012,TERM 3,0474,Trinity Gardens Primary School,13-17 years,11,11.0
2012,TERM 3,0474,Trinity Gardens Primary School,8 and Under,349,349.0
2012,TERM 3,0474,Trinity Gardens Primary School,9-12 Years,268,267.8
2012,TERM 3,0442,Truro Primary School,13-17 years,1,1.0
2012,TERM 3,0442,Truro Primary School,8 and Under,19,19.0
2012,TERM 3,0442,Truro Primary School,9-12 Years,30,30.0
2012,TERM 3,0743,Tumby Bay Area School,13-17 years,118,115.6
2012,TERM 3,0743,Tumby Bay Area School,18 and Over,4,3.8
2012,TERM 3,0743,Tumby Bay Area School,8 and Under,88,88.0
2012,TERM 3,0743,Tumby Bay Area School,9-12 Years,86,86.0
2012,TERM 3,0444,Two Wells Primary School,13-17 years,9,9.0
2012,TERM 3,0444,Two Wells Primary School,8 and Under,134,134.0
2012,TERM 3,0444,Two Wells Primary School,9-12 Years,148,148.0
2012,TERM 3,0965,Underdale High School,13-17 years,634,631.2
2012,TERM 3,0965,Underdale High School,18 and Over,28,27.2
2012,TERM 3,0965,Underdale High School,9-12 Years,1,1.0
2012,TERM 3,0446,Ungarra Primary School,8 and Under,18,18.0
2012,TERM 3,0446,Ungarra Primary School,9-12 Years,14,14.0
2012,TERM 3,0797,Unley High School,13-17 years,1202,1157.2
2012,TERM 3,0797,Unley High School,18 and Over,61,56.9
2012,TERM 3,0797,Unley High School,9-12 Years,1,1.0
2012,TERM 3,0447,Unley Primary School,13-17 years,10,10.0
2012,TERM 3,0447,Unley Primary School,8 and Under,273,273.0
2012,TERM 3,0447,Unley Primary School,9-12 Years,187,187.0
2012,TERM 3,0448,Upper Sturt Primary School,8 and Under,17,17.0
2012,TERM 3,0448,Upper Sturt Primary School,9-12 Years,15,15.0
2012,TERM 3,0449,Uraidla Primary School,13-17 years,4,4.0
2012,TERM 3,0449,Uraidla Primary School,8 and Under,49,49.0
2012,TERM 3,0449,Uraidla Primary School,9-12 Years,64,64.0
2012,TERM 3,0798,Urrbrae Agricultural High School,13-17 years,942,939.8
2012,TERM 3,0798,Urrbrae Agricultural High School,18 and Over,32,30.6
2012,TERM 3,0798,Urrbrae Agricultural High School,9-12 Years,3,3.0
2012,TERM 3,0967,Vale Park Primary School,13-17 years,5,5.0
2012,TERM 3,0967,Vale Park Primary School,8 and Under,203,203.0
2012,TERM 3,0967,Vale Park Primary School,9-12 Years,129,129.0
2012,TERM 3,1184,Valley View Secondary School,13-17 years,354,354.0
2012,TERM 3,1184,Valley View Secondary School,18 and Over,38,38.0
2012,TERM 3,1184,Valley View Secondary School,9-12 Years,1,1.0
2012,TERM 3,0799,Victor Harbor High School,13-17 years,676,671.6
2012,TERM 3,0799,Victor Harbor High School,18 and Over,33,32.8
2012,TERM 3,0799,Victor Harbor High School,9-12 Years,1,1.0
2012,TERM 3,1860,Victor Harbor Junior Primary School,8 and Under,181,180.4
2012,TERM 3,0453,Victor Harbor R-7 School,13-17 years,17,17.0
2012,TERM 3,0453,Victor Harbor R-7 School,8 and Under,62,62.0
2012,TERM 3,0453,Victor Harbor R-7 School,9-12 Years,301,301.0
2012,TERM 3,0455,Virginia Primary School,13-17 years,1,1.0
2012,TERM 3,0455,Virginia Primary School,8 and Under,129,129.0
2012,TERM 3,0455,Virginia Primary School,9-12 Years,131,131.0
2012,TERM 3,0800,Waikerie High School,13-17 years,352,349.5
2012,TERM 3,0800,Waikerie High School,18 and Over,52,51.4
2012,TERM 3,0800,Waikerie High School,9-12 Years,4,4.0
2012,TERM 3,0456,Waikerie Primary School,13-17 years,8,8.0
2012,TERM 3,0456,Waikerie Primary School,8 and Under,133,133.0
2012,TERM 3,0456,Waikerie Primary School,9-12 Years,123,123.0
2012,TERM 3,0457,Walkerville Primary School,13-17 years,6,6.0
2012,TERM 3,0457,Walkerville Primary School,8 and Under,297,297.0
2012,TERM 3,0457,Walkerville Primary School,9-12 Years,241,241.0
2012,TERM 3,0460,Wallaroo Mines Primary School,13-17 years,2,2.0
2012,TERM 3,0460,Wallaroo Mines Primary School,8 and Under,53,53.0
2012,TERM 3,0460,Wallaroo Mines Primary School,9-12 Years,36,36.0
2012,TERM 3,0459,Wallaroo Primary School,13-17 years,5,5.0
2012,TERM 3,0459,Wallaroo Primary School,8 and Under,73,73.0
2012,TERM 3,0459,Wallaroo Primary School,9-12 Years,98,98.0
2012,TERM 3,0994,Wandana Primary School,13-17 years,2,2.0
2012,TERM 3,0994,Wandana Primary School,8 and Under,94,94.0
2012,TERM 3,0994,Wandana Primary School,9-12 Years,90,90.0
2012,TERM 3,0467,Warooka Primary School,8 and Under,52,52.0
2012,TERM 3,0467,Warooka Primary School,9-12 Years,35,35.0
2012,TERM 3,0933,Warradale Primary School,13-17 years,1,1.0
2012,TERM 3,0933,Warradale Primary School,8 and Under,187,187.0
2012,TERM 3,0933,Warradale Primary School,9-12 Years,77,77.0
2012,TERM 3,1364,Warriappendi School,13-17 years,46,45.4
2012,TERM 3,0469,Wasleys Primary School,13-17 years,1,1.0
2012,TERM 3,0469,Wasleys Primary School,8 and Under,24,24.0
2012,TERM 3,0469,Wasleys Primary School,9-12 Years,22,22.0
2012,TERM 3,1717,Watarru Anangu School,13-17 years,3,3.0
2012,TERM 3,1717,Watarru Anangu School,8 and Under,5,5.0
2012,TERM 3,1717,Watarru Anangu School,9-12 Years,5,5.0
2012,TERM 3,0470,Watervale Primary School,13-17 years,1,1.0
2012,TERM 3,0470,Watervale Primary School,8 and Under,30,30.0
2012,TERM 3,0470,Watervale Primary School,9-12 Years,13,13.0
2012,TERM 3,1004,West Beach Primary School,13-17 years,10,9.4
2012,TERM 3,1004,West Beach Primary School,8 and Under,117,117.0
2012,TERM 3,1004,West Beach Primary School,9-12 Years,126,125.6
2012,TERM 3,1780,West Lakes Shore JPS,8 and Under,251,251.0
2012,TERM 3,1246,West Lakes Shore School R-7,13-17 years,8,8.0
2012,TERM 3,1246,West Lakes Shore School R-7,8 and Under,81,81.0
2012,TERM 3,1246,West Lakes Shore School R-7,9-12 Years,313,313.0
2012,TERM 3,0475,Westbourne Park Primary School,13-17 years,7,7.0
2012,TERM 3,0475,Westbourne Park Primary School,8 and Under,299,299.0
2012,TERM 3,0475,Westbourne Park Primary School,9-12 Years,235,235.0
2012,TERM 3,1203,Westport Primary School,13-17 years,4,4.0
2012,TERM 3,1203,Westport Primary School,8 and Under,99,99.0
2012,TERM 3,1203,Westport Primary School,9-12 Years,104,104.0
2012,TERM 3,0822,Whyalla High School,13-17 years,328,328.0
2012,TERM 3,0559,Whyalla Special School,13-17 years,11,11.0
2012,TERM 3,0559,Whyalla Special School,18 and Over,3,3.0
2012,TERM 3,0559,Whyalla Special School,8 and Under,14,14.0
2012,TERM 3,0559,Whyalla Special School,9-12 Years,10,10.0
2012,TERM 3,0625,Whyalla Stuart Campus R-7,13-17 years,1,1.0
2012,TERM 3,0625,Whyalla Stuart Campus R-7,8 and Under,55,55.0
2012,TERM 3,0625,Whyalla Stuart Campus R-7,9-12 Years,48,48.0
2012,TERM 3,0478,Whyalla Town Primary School,13-17 years,9,9.0
2012,TERM 3,0478,Whyalla Town Primary School,8 and Under,174,174.0
2012,TERM 3,0478,Whyalla Town Primary School,9-12 Years,128,128.0
2012,TERM 3,0907,William Light R-12 School,13-17 years,268,264.0
2012,TERM 3,0907,William Light R-12 School,18 and Over,22,21.2
2012,TERM 3,0907,William Light R-12 School,8 and Under,72,72.0
2012,TERM 3,0907,William Light R-12 School,9-12 Years,107,107.0
2012,TERM 3,0482,Williamstown Primary School,13-17 years,2,2.0
2012,TERM 3,0482,Williamstown Primary School,8 and Under,95,95.0
2012,TERM 3,0482,Williamstown Primary School,9-12 Years,112,112.0
2012,TERM 3,0679,Willsden Primary School,13-17 years,2,2.0
2012,TERM 3,0679,Willsden Primary School,8 and Under,82,82.0
2012,TERM 3,0679,Willsden Primary School,9-12 Years,72,72.0
2012,TERM 3,0909,Willunga High School,13-17 years,813,812.8
2012,TERM 3,0909,Willunga High School,18 and Over,118,115.2
2012,TERM 3,0909,Willunga High School,9-12 Years,2,2.0
2012,TERM 3,0744,Willunga Primary School,13-17 years,8,8.0
2012,TERM 3,0744,Willunga Primary School,8 and Under,218,218.0
2012,TERM 3,0744,Willunga Primary School,9-12 Years,207,207.0
2012,TERM 3,0483,Wilmington Primary School,13-17 years,1,1.0
2012,TERM 3,0483,Wilmington Primary School,8 and Under,32,32.0
2012,TERM 3,0483,Wilmington Primary School,9-12 Years,30,30.0
2012,TERM 3,0906,Windsor Gardens Vocational College,13-17 years,521,518.7
2012,TERM 3,0906,Windsor Gardens Vocational College,18 and Over,19,18.6
2012,TERM 3,0906,Windsor Gardens Vocational College,9-12 Years,1,1.0
2012,TERM 3,0486,Winkie Primary School,13-17 years,1,1.0
2012,TERM 3,0486,Winkie Primary School,8 and Under,16,16.0
2012,TERM 3,0486,Winkie Primary School,9-12 Years,13,13.0
2012,TERM 3,0487,Wirrabara Primary School,8 and Under,5,5.0
2012,TERM 3,0487,Wirrabara Primary School,9-12 Years,18,18.0
2012,TERM 3,0638,Wirreanda High School,13-17 years,821,819.7
2012,TERM 3,0638,Wirreanda High School,18 and Over,68,66.5
2012,TERM 3,0638,Wirreanda High School,9-12 Years,2,2.0
2012,TERM 3,1776,Woodcroft Primary School,13-17 years,20,20.0
2012,TERM 3,1776,Woodcroft Primary School,8 and Under,512,512.0
2012,TERM 3,1776,Woodcroft Primary School,9-12 Years,418,418.0
2012,TERM 3,1056,Woodend Primary School,13-17 years,12,12.0
2012,TERM 3,1056,Woodend Primary School,8 and Under,360,360.0
2012,TERM 3,1056,Woodend Primary School,9-12 Years,245,245.0
2012,TERM 3,0495,Woodside Primary School,13-17 years,5,5.0
2012,TERM 3,0495,Woodside Primary School,8 and Under,123,123.0
2012,TERM 3,0495,Woodside Primary School,9-12 Years,102,102.0
2012,TERM 3,1904,Woodville Gardens School B-7,13-17 years,12,12.0
2012,TERM 3,1904,Woodville Gardens School B-7,8 and Under,279,279.0
2012,TERM 3,1904,Woodville Gardens School B-7,9-12 Years,316,316.0
2012,TERM 3,0801,Woodville High School,13-17 years,930,925.5
2012,TERM 3,0801,Woodville High School,18 and Over,54,52.5
2012,TERM 3,0801,Woodville High School,9-12 Years,6,6.0
2012,TERM 3,0497,Woodville Primary School,13-17 years,9,9.0
2012,TERM 3,0497,Woodville Primary School,8 and Under,163,163.0
2012,TERM 3,0497,Woodville Primary School,9-12 Years,182,182.0
2012,TERM 3,0746,Woomera Area School,13-17 years,7,7.0
2012,TERM 3,0746,Woomera Area School,8 and Under,6,6.0
2012,TERM 3,0746,Woomera Area School,9-12 Years,9,9.0
2012,TERM 3,0765,Wudinna Area School,13-17 years,59,58.8
2012,TERM 3,0765,Wudinna Area School,8 and Under,70,69.2
2012,TERM 3,0765,Wudinna Area School,9-12 Years,53,53.0
2012,TERM 3,0533,Wynn Vale R-7 School,13-17 years,8,8.0
2012,TERM 3,0533,Wynn Vale R-7 School,8 and Under,120,120.0
2012,TERM 3,0533,Wynn Vale R-7 School,9-12 Years,109,109.0
2012,TERM 3,0501,Yahl Primary School,13-17 years,1,1.0
2012,TERM 3,0501,Yahl Primary School,8 and Under,58,58.0
2012,TERM 3,0501,Yahl Primary School,9-12 Years,53,53.0
2012,TERM 3,0999,Yalata Anangu School,13-17 years,8,8.0
2012,TERM 3,0999,Yalata Anangu School,8 and Under,23,23.0
2012,TERM 3,0999,Yalata Anangu School,9-12 Years,22,22.0
2012,TERM 3,0766,Yankalilla Area School,13-17 years,149,147.5
2012,TERM 3,0766,Yankalilla Area School,18 and Over,7,6.0
2012,TERM 3,0766,Yankalilla Area School,8 and Under,122,122.0
2012,TERM 3,0766,Yankalilla Area School,9-12 Years,93,93.0
2012,TERM 3,0767,Yorketown Area School,13-17 years,145,142.3
2012,TERM 3,0767,Yorketown Area School,18 and Over,4,2.7
2012,TERM 3,0767,Yorketown Area School,8 and Under,35,35.0
2012,TERM 3,0767,Yorketown Area School,9-12 Years,73,73.0
2012,TERM 3,0195,Youth Education Centre,13-17 years,16,14.8
2012,TERM 3,0195,Youth Education Centre,18 and Over,12,12.0
2012,TERM 3,0644,Yunta Rural School,8 and Under,2,1.2
2012,TERM 3,0644,Yunta Rural School,9-12 Years,2,2.0
